stage,epoch,train_loss,validation_positive_mean_iou,validation_positive_mean_dice,validation_threshold_f1,validation_negative_clean_rate,validation_selection_score,seconds
head,1,1.4341468707496572,0.49076646755022285,0.6382306737953382,1.0,0.5555555555555556,0.653254890485956,252.3508734703064
finetune,1,1.338969645925531,0.5357554728568827,0.6721241919391258,1.0,0.5555555555555556,0.6779988434046189,304.24891209602356
finetune,2,1.3531283313679583,0.4899736513550726,0.639543632018203,0.7058823529411764,0.0,0.48125021412764285,507.81145763397217
finetune,3,1.3071613266994135,0.4995287697810052,0.6453829935657424,1.0,0.5555555555555556,0.6580741567128862,516.6944477558136
